大きな石が地面にどしっと落ちた。;おおきな いし が じめん に どしっと おちた。;A large rock fell to the ground with a thud.;どしっ	ドシッ	thudding	onomatopoeia
重い本がドタリと床に落ちた。;おもい ほん が どたり と ゆか に おちた。;The heavy book fell to the floor with a thud.;どたり	ドタリ	thudding	onomatopoeia
彼はドアをドタンと勢いよく閉めた。;かれ は どあ を どたん と いきおい よく しめた。;He slammed the door shut with force.;どたん	ドタン	slam	action	slamming
彼がドアにドタンとぶつかった。;かれ が ドア に ドタン と ぶつかった。;He slammed into the door with a thud.;どたん	ドタン	slamming	onomatopoeia
彼は朝、どたんばたんと準備をしていた。;かれ は あさ 、 どたんばたん と じゅんび を して いた 。;He was scrambling to get ready in the morning.;どたんばたん	ドタンバタン	scrambling	onomatopoeia
彼は突然、驚いて後ろにどっと下がった。;かれは とつぜん おどろいて うしろに どっと さがった。;He was suddenly startled and rushed backward.;どっ	ドッ	"suddenly, rushing"	motions
突然、雨が降り出した。;とつぜん、あめ が ふりだした。;Suddenly, the rain started pouring.;どっ	ドッ	"suddenly, rushing"	motions
どっどっと水が流れた。;どっ どっ と みず が ながれた。;The water roared as it rushed forward.;どっ	ドッ	roaring	onomatopoeia	water
ドアを閉めると、どっしりと音が響いた。;どあ を しめる と 、 どっしり と おと が ひびいた 。;When the door was closed, it made a heavy thud.;どっ	ドッ	roaring	onomatopoeia
重い箱が床に落ちる音がどっと響いた。;おもい はこ が ゆか に おちる おと が どっと ひびいた。;The sound of a heavy box falling thudded on the floor.;どっ	ドッ	thudding	onomatopoeia
彼は階段から落ちてどっさりと倒れた。;かれ は かいだん から おちて どっさり と たおれた。;He fell heavily from the stairs and toppled over.;どっ	ドッ	topple	performing an action	falling
水がどっどっと流れ出した。;みず が どっどっと ながれだした。;The water gushed out all of a sudden.;どっ	ドッ	gushing all of a sudden	state	liquids
彼は椅子にどっかと座った。;かれ は いす に どっか と すわった。;He sank into the chair.;どっか	ドッカ	sink into a chair	performing an action	sitting
彼はソファにどっかりと座った。;かれ は そふぁ に どっかり と すわった。;He plopped down onto the sofa with a thud.;どっかり	ドッカリ	plopping down into a chair with a thud	performing an action	sitting
彼はソファにどっかりと座った。;かれ は そふぁ に どっかり と すわった 。;He plopped down heavily on the sofa.;どっかり	ドッカリ	gaping	shape	hole
彼はとっくりと考えてから、返事をした。;かれ は とっくり と かんがえて から、 へんじ を した。;After thoroughly pondering, he gave his reply.;とっくり	トックリ	"thoroughly, pondering"	mental actions	reflection
彼はとっくりとその問題について考えた。;かれ は とっくり と その もんだい に ついて かんがえた。;He carefully thought about that issue.;とっくり	トックリ	"carefully, deliberately"	performing an action
今日はりんごがどっさりあります。;きょう は りんご が どっさり あります。;There are a lot of apples today.;どっさり	ドッサリ	in large quantity	quantity
その老人はどっしりとした態度で庭のベンチに座っています。;その ろうじん は どっしり と した たいど で にわ の ベンチ に すわって います。;The elderly man sits on the garden bench with a dignified presence.;どっしり	ドッシリ	"dignified, imposing"	performing an action	sitting
彼はどっしりとしたソファに座った。;かれ は どっしり と した そふぁ に すわった。;He sat down on the bulky sofa.;どっしり	ドッシリ	"bulky, heavy"	to appear to be
彼はとっとと部屋を出て行った。;かれ は とっと と へや を でて いった。;He immediately walked out of the room.;とっと	トット	"to walk, to leave the very instant"	performing an action	walking
子猫がとっとっと歩いている。;こねこ が とっとっと あるいて いる。;The kitten is walking with small, rapid steps.;とっとっ	トットッ	"small, rapid steps"	performing an action	walking
彼の服は雨でとっぷり濡れていた。;かれ の ふく は あめ で とっぷり ぬれて いた。;His clothes were thoroughly soaked by the rain.;とっぷり	トップリ	"thoroughly soaked, immersed in liquid"	action
日が沈み、空はとっぷりと暮れていた。;ひ が しずみ、そら は とっぷり と くれ て い た。;The sun had set, and the sky was completely dark.;とっぷり	トップリ	night closing in	temporal aspect
彼は本にどっぷり浸っていた。;かれ は ほん に どっぷり ひたって いた。;He was thoroughly immersed in the book.;どっぷり	ドップリ	"thoroughly soaked, immersed in liquid"	action
猫がどてっとソファに座っている。;ねこ が どてっと そふぁ に すわっている。;The cat is sitting lethargically on the sofa.;どてっ	ドテッ	sitting lethargically	performing an action	sitting
彼はどてっとソファに倒れ込んだ。;かれ は どてっと ソファに たおれこんだ。;He collapsed onto the sofa with a thud and stayed there.;どてっ	ドテッ	"to collapse, to fall over and stay there (lethargically)"	performing an action
彼は疲れていたので、帰宅するとどでっとソファに倒れ込んだ。;かれ は つかれて いた ので、きたく する と どでっと ソファ に たおれこむ;He was so tired that when he got home, he collapsed lethargically onto the sofa.;どでっ	ドデッ	"to collapse, to fall over and stay there (lethargically)"	performing an action
彼はドテンとひっくり返ったところで笑い出した。;かれ は どてん と ひっくりかえった ところ で わらいだした。;He laughed loudly when he suddenly turned over.;どてん	ドテン	overturn by force	performing an action	falling
彼らはテーブルをどでんとひっくり返した。;かれら は てーぶる を どでん と ひっくりかえした。;They overturned the table forcefully.;どでん	ドデン	overturn by force	performing an action	falling
彼の言葉は、突然どどっと心に響きました。;かれ の ことば は、とつぜん どどっと こころ に ひびきました。;His words suddenly resonated powerfully in my heart.;どどっ	ドドッ	burst with force	motions
滝の水の音がどどっと響き渡った。;たき の みず の おと が どどっと ひびきわたった。;The sound of the waterfall roared loudly.;どどっ	ドドッ	roaring	onomatopoeia	water
獅子がどどっと吠えた。;しし が どどっと ほえた 。;The lion roared loudly.;どどっ	ドドッ	roaring	onomatopoeia
川の水がどどっと流れ出した。;かわ の みず が どどっと ながれだした。;The river's water gushed out all of a sudden.;どどっ	ドドッ	gushing all of a sudden	state	liquids
彼は勢いよく湖に飛び込んで「どぶーん」と音がした。;かれ は いきおい よく みずうみ に とびこんで 「どぶーん」 と おと が した。;He vigorously jumped into the lake, and there was a loud plop sound.;どぶーん	ドブーン	to plop into water	action	plunging
彼は池の中に石を落として、どぶんと音がした。;かれ は いけ の なか に いし を おとして、 どぶん と おと が した。;He dropped a stone into the pond, and there was a plopping sound.;どぶん	ドブン	to plop into water	action	plunging
大きな石が池に落ちてドブンと音がした。;おおきな いし が いけ に おちて どぶん と おと が した。;A big stone fell into the pond with a 'plop' sound.;どぶん	ドブン	plopping	onomatopoeia
彼はとぼとぼと家に帰った。;かれ は とぼとぼ と いえ に かえった。;He trudged along back home.;とぼとぼ	トボトボ	trudging along	performing an action	walking
カエルが水の中にドボンと入りました。;かえる が みず の なか に ド ボン と はいりました。;The frog plunged into the water with a small plop.;どぼん	ドボン	something small plopping into water	action	plunging
生徒たちが教室にどやどや入ってきた。;せいと たち が きょうしつ に どやどや はいってきた。;The students entered the classroom noisily.;どやどや	ドヤドヤ	noisily (the voices of lots of people)	perceived sound
彼の目はとろっとしていて、眠りに落ちそうだった。;かれ の め は とろっと して いて、ねむり に おち そう だった。;His eyes were sleepy and it looked like he was about to fall asleep.;とろっ	トロッ	"sleepy, dull eyes"	body function	sleep
彼は眠くて、とろっした目をしている。;かれ は ねむくて、 とろっ した め を している。;He looks sleepy, with dull eyes.;とろっ	トロッ	"sleepy, dull eyes"	eye expressions
このケーキは口の中でとろけるようにトロッとした食感があります。;この けーき は くち の なか で とろける ように とろっ と した しょっかん が あります。;This cake has a syrupy texture that melts in your mouth.;とろっ	トロッ	syrupy	flavour
チーズがとろっととける。;ちーず が とろっ と とける。;The cheese melts into a gooey consistency.;とろっ	トロッ	"sticky, viscous, molten"	physical state	sticky
チーズがとろっと溶けて、美味しいソースになった。;ちーず が とろっ と とけて 、 おいしい そーす に なった 。;The cheese melted into a rich sauce, making it delicious.;とろっ	トロッ	melt into a (viscous) liquid	state	liquids
雨が降って庭がドロッとしている。;あめ が ふって にわ が どろっ としている。;It's raining, and the garden is sticky and muddy.;どろっ	ドロッ	"sticky, thick, viscous, molten, mudled"	physical state	sticky
彼女はとろとろと寝ていた。;かのじょ は とろとろ と ねていた。;She was drowsily dozing off.;とろとろ	トロトロ	"to sleep light for a short while (before real sleep), to be drowsy"	body function	sleep
このスープはとろとろで、とても美味しいです。;この すーぷ は とろとろ で、 とても おいしい です。;This soup is viscous and very delicious.;とろとろ	トロトロ	"viscous, smooth"	physical state	sticky
チーズがトロトロに溶けて、美味しそうです。;ちーず が とろとろ に とけて、 おいしそう です。;The cheese has melted to a gooey state and looks delicious.;とろとろ	トロトロ	molten	resultant state
このろうそくはとろとろの火を持っている。;この ろうそく は とろとろ の ひ を もっている。;This candle has a dull flame.;とろとろ	トロトロ	"dull, weak"	state	fire
このスープはとろとろで美味しい。;この すーぷ は とろとろ で おいしい。;This soup is creamy and delicious.;とろとろ	トロトロ	"slow, gentle flow or melting of (viscous) liquid"	state	liquids
このスープはどろどろになっているので、もっと水を足した方がいい。;この すーぷ は どろどろ に なっている ので、もっと みず を たした ほう が いい。;This soup has become thick and pasty, so it's better to add more water.;どろどろ	ドロドロ	pasty	physical state	sticky
道がどろどろで歩きにくい。;みち が どろどろ で あるきにくい。;The road is muddy and hard to walk on.;どろどろ	ドロドロ	muddy	physical state	wet
火山の噴火で、溶岩がどろどろと流れ出しました。;かざん の ふんか で、ようがん が どろどろ と ながれだしました。;During the volcanic eruption, lava flowed out in a molten state.;どろどろ	ドロドロ	molten	resultant state
ビーフシチューがぐつぐつとどろどろに煮込まれている。;びーふ しちゅー が ぐつぐつ と どろどろ に にこまれている。;The beef stew is simmering and becoming thick and hearty.;どろどろ	ドロドロ	"something high-density, sticky, flowing or melting"	state	liquids
彼はとろりとろりと眠りに落ちた。;かれ は とろりとろり と ねむり に おちた。;He drifted off into a light, drowsy sleep.;とろりとろり	トロリトロリ	"to sleep light for a short while (before real sleep), to be drowsy"	body function	sleep
彼は会議中、目がとろんとしていた。;かれ は かいぎちゅう、め が とろん と していた。;During the meeting, his eyes looked sleepy.;とろん	トロン	"sleepy, dull eyes"	body function	sleep
彼の目は疲れてとろんとしていた。;かれ の め は つかれて とろん としていた。;His eyes were tired and drowsy.;とろん	トロン	"sleepy, dull eyes, stronger version of とろっ"	eye expressions
彼は突然、姿を消してどろんした。;かれ は とつぜん、すがた を けして どろん した。;He suddenly vanished without a trace.;どろん	ドロン	"disappear, vanish"	action	sudden
彼の目はどろんとしていて、何か考え込んでいるようだった。;かれ の め は どろん と して いて、 なにか かんがえこんでいる よう だった。;His eyes were cloudy, as if he was deep in thought.;どろん	ドロン	"cloudy eyes, not in focus, stronger version of とろん"	eye expressions
泥んこの道を歩いて靴がどろんどろんになった。;どろんこの みちを あるいて くつが どろんどろんに なった。;Walking on the muddy path made my shoes all sticky and muddy.;どろん	ドロン	"sticky, mudled"	physical state	sticky
彼はドアにどんとぶつかった。;かれ は ドア に どん と ぶつかった。;He bumped into the door with a thud.;どん	ドン	bump into something heavy	action	hitting something
銃声がどんと響いた。;じゅうせい が どん と ひびいた。;The gunshot echoed with a loud 'blam.';どん	ドン	"""blam"""	onomatopoeia	firing guns
ドアがどんどんと叩かれた。;どあ が どんどん と たたかれた。;The door was pounded on with a thudding sound.;どん	ドン	thudding	onomatopoeia
彼は壁にドンとぶつかった。;かれ は かべ に どん と ぶつかった。;He bumped into the wall heavily.;どん	ドン	to bumb into something heavy	performing an action
彼はどんと本をテーブルに置いた。;かれ は どん と ほん を てえぶる に おいた。;He placed a large pile of books on the table with a thud.;どん	ドン	a large number in one go	quantity
彼の発言はとんちんかんで、誰も何を言いたいのか理解できませんでした。;かれ の はつげん は とんちんかん で、だれも なにを いいたい のか りかい できませんでした。;His speech was so absurd that no one could understand what he was trying to say.;とんちんかん	トンチンカン	"absurd, saying something irrelevant"	speech
今年のプロジェクトはトントン拍子に進みました。;ことし の ぷろじぇくと は とんとん びょうし に すすみました。;This year's project went off without a hitch.;とんとん	トントン	without a hitch	career experience
先月は、出費が多かったが最終的にトントンだった。;せんげつ は、 しゅっぴ が おおかった が さいしゅうてき に トントン だった。;Last month, there were a lot of expenses, but I ultimately broke even.;とんとん	トントン	to break even	money issues
仕事はとんとん拍子に進みました。;しごとは とんとんびょうしに すすみました。;The work proceeded smoothly.;とんとん	トントン	smoothly	motions
ドアをノックする音はトントンと響いた。;どあ を のっく する おと は とんとん と ひびいた。;The sound of knocking on the door echoed with a 'ton-ton.';とんとん	トントン	knocking	onomatopoeia
彼はドアをトントンと叩いた。;かれ は どあ を とんとん と たたい た 。;He tapped on the door.;とんとん	トントン	tapping	onomatopoeia
ドアをトントンと叩いた。;どあ を とんとん と たたいた。;I knocked on the door with a drumming sound.;とんとん	トントン	drumming	onomatopoeia
毎年、森林がどんどん減っています。;まい とし しんりん が どんどん へって います。;Every year, the forests are steadily decreasing.;どんどん	ドンドン	"steadily, in number"	motions
ドンドンとドアを叩く音が聞こえた。;どんどん と どあ を たたく おと が きこえた。;I heard the sound of pounding on the door.;どんどん	ドンドン	pounding	onomatopoeia
祭りが始まると、太鼓の音がどんどん聞こえてきた。;まつり が はじまる と、たいこ の おと が どんどん きこえてきた。;When the festival started, the sound of drums could be heard pounding.;どんどん	ドンドン	drumming	onomatopoeia
彼はどんどん仕事を進めた。;かれ は どんどん しごと を すすめた。;He was working on his tasks more and more vigorously.;どんどん	ドンドン	move with vigour	resultant state
彼の予測はどんぴしゃり当たった。;かれ の よそく は どんぴしゃり あたった。;His prediction was right on the mark.;どんぴしゃり	ドンピシャリ	on the mark	resultant state
空はどんよりと曇っている。;そら は どんより と くもっている。;The sky is dull and overcast.;どんより	ドンヨリ	"dull, leaden, gloomy"	weather	clear
彼のお酒はなみなみとグラスに注がれていた。;かれ の おさけ は なみなみ と ぐらす に そそがれて いた。;His glass was filled to the brim with alcohol.;なみなみ	ナミナミ	filled to the top	resultant state
彼はナヨナヨと歩いていた。;かれ は なよなよ と あるいて いた。;He walked feebly.;なよなよ	ナヨナヨ	feeble	form
彼の体はなよなよとした印象を与える。;かれ の からだ は なよなよ と した いんしょう を あたえる。;His body gives a slender and feeble impression.;なよなよ	ナヨナヨ	slender and feeble	the body
彼女はニコッと微笑んでいるが、目は怒りを隠せない。;かのじょ は にこっ と ほほえんで いる が、 め は いかり を かくせない。;She is smiling brightly, but her eyes can't hide the anger.;にこっ	ニコッ	showing a smile	facial expression	anger
彼女は私に向かってにこっと微笑んだ。;かのじょ は わたし に むかって にこっと ほほえんだ。;She flashed a smile at me.;にこっ	ニコッ	flashing a smile	smiling
彼女はいつも家族の写真を見てにこにこしている。;かのじょ は いつも かぞく の しゃしん を みて にこにこ して いる。;She always beams with happiness when looking at her family photos.;にこにこ	ニコニコ	to beam [happiness]	facial expression	smiling
彼女はいつもにこにこしている。;かのじょ は いつも にこにこ している。;She is always smiling happily.;にこにこ	ニコニコ	smiling happily 	smiling
彼女は赤ん坊を見てにこりと笑った。;かのじょ は あかんぼう を みて にこり と わらった。;She looked at the baby and smiled gently.;にこり	ニコリ	showing a smile	facial expression	smiling
彼女はにこりと笑った。;かのじょ は にこり と わらった。;She smiled.;にこり	ニコリ	flashing a smile	smiling
彼女はその考えを巡らせてニタッと微笑んだ。;かのじょ は その かんがえ を めぐらせて にたっと ほほえんだ。;She flashed a smile as she dwelled on that thought.;にたっ	ニタッ	flashing a smile brought on by ones own thoughts	smiling
彼はにたにたと笑いながら、秘密を話した。;かれ は にたにた と わらいながら、ひみつ を はなした。;He simpered slyly as he revealed the secret.;にたにた	ニタニタ	"simpering, evil, devious"	smiling
彼は嬉しいことを思い出してにたりと笑った。;かれ は うれしい こと を おもいだして にたり と わらった。;He recalled a happy moment and smiled to himself.;にたり	ニタリ	flashing a smile brought on by ones own thoughts	smiling
彼の手はにちゃにちゃしていて、触るのに躊躇する。;かれ の て は にちゃにちゃ して いて 、 さわる の に ちゅうちょ する 。;His hands feel sticky and I hesitate to touch them.;にちゃにちゃ	ニチャニチャ	a gluey feeling	feelings
このタコ焼きは油でニチャニチャしている。;この たこやき は あぶら で にちゃにちゃ している。;This takoyaki is greasy and sticky with oil.;にちゃにちゃ	ニチャニチャ	"adhesive, like glue, viscous, greasy"	physical state
彼の手は蜜でにちゃにちゃしていた。;かれ の て は みつ で にちゃにちゃ して いた。;His hands were sticky with honey.;にちゃにちゃ	ニチャニチャ	viscous	texture
彼はニッと笑って、秘密を教えてくれた。;かれ は にっ と わらって、ひみつ を おしえて くれた。;He grinned and revealed the secret to me.;にっ	ニッ	giving a teeth-exposing smile	facial expression	smiling
彼女はいつもにっこりと微笑んでいたので、みんなに愛されていた。;かのじょ は いつも にっこり と ほほえんでいた ので、みんな に あいされていた。;She was always smiling smugly, which made everyone adore her.;にっ	ニッ	smug	smiling
彼女は私ににっこり微笑んだ。;かのじょ は わたし に にっこり ほほえんだ 。;She gave me a sweet smile.;にっこり	ニッコリ	"flasfhin a smile, giving a sweet smile"	facial expression	smiling
彼女はにっこり笑って、私に手を振った。;かのじょ は にっこり わらって、 わたし に て を ふった。;She flashed a bright smile and waved at me.;にっこり	ニッコリ	"flashing a smile, stronger than にこり"	smiling
猫がにゃーにゃー鳴いています。;ねこ が にゃー にゃー ない て い ます。;The cat is meowing.;にゃーにゃー	ニャーニャー	mow	onomatopoeia	cat
猫は"にゃおにゃお"と鳴きました。;ねこ は "にゃおにゃお" と なきました。;The cat went "meow meow.";にゃおにゃお	ニャオニャオ	meow	onomatopoeia	cat
彼女は面白い話を聞いて、にやっと笑った。;かのじょ は おもしろい はなし を きいて、にやっと わらった。;She heard a funny story and grinned.;にやっ	ニヤッ	"a grin, an unconscious smile"	smiling
あいつはにやにやしながら、試験に合格したことを話した。;あいつ は にやにや しながら、しけん に ごうかく した こと を はなした。;He spoke about passing the exam with a grin on his face.;にやにや	ニヤニヤ	"a grin showing teeth, simpering (gloatingly)"	smiling
彼はにやりと笑った。;かれ は に やり と わらった。;He gave a grin.;にやり	ニヤリ	"a grin, an unconscious smile"	smiling
彼の顔がにゅっと現れて、みんな驚いた。;かれ の かお が にゅっと あらわれて、みんな おどろいた。;His face suddenly popped out, and everyone was surprised.;にゅっ	ニュッ	appearing out of the blue (with gross aspect)	action	sudden
魚が手からにゅるにゅる逃げた。;さかな が て から にゅるにゅる にげた。;The fish squirmed and slipped away from my hand.;にゅるにゅる	ニュルニュル	"squirm, slip away"	performing an action
春になると、庭の草がにょきにょきと伸びてくる。;はる に なる と、にわ の くさ が にょきにょき と のびてくる。;When spring comes, the grass in the garden springs up one after another.;にょきにょき	ニョキニョキ	springing up one after another	motions
彼の背の高さがにょっきと目立った。;かれ の せ の たかさ が にょっき と めだった。;His height stood out conspicuously.;にょっき	ニョッキ	standing out conspicuously	spacial orientation
高いビルがにょっきりとそびえている。;たかい びる が にょっきり と そびえている。;Tall buildings stand out conspicuously.;にょっきり	ニョッキリ	standing out conspicuously	spacial orientation
蛇はにょろっと逃げていった。;へび は にょろっと にげて いった。;The snake squirmed away quickly.;にょろっ	ニョロッ	"a single, fast, squirming movement"	performing an action
にょろにょろ蛇が地面を這っている。;にょろにょろ へび が じめん を はっている。;The snake is wriggling about on the ground.;にょろにょろ	ニョロニョロ	wriggling about	performing an action
ヘビがにょろりと草むらを通り抜ける。;へび が にょろり と くさむら を とおりぬける。;The snake slithered smoothly through the grass.;にょろり	ニョロリ	"a single, fast, squirming movement (more gentle than にょろり)"	performing an action
彼は試合に勝って、にんまりと微笑んだ。;かれ は しあい に かって、 にんまり と ほほえんだ。;He won the match and smiled with satisfaction.;にんまり	ニンマリ	smiling satisfied	facial expression	smiling
彼はすぐににんまりと笑った。;かれ は すぐ に にんまり と わらった。;He instantly smiled with satisfaction.;にんまり	ニンマリ	smiling satisfied	smiling
彼女はぬーっと現れた。;かのじょ は ぬーっと あらわれた。;She appeared out of the blue.;ぬーっ	ヌーッ	appearing out of the blue	action	sudden
この寒い日に、暖炉の前でぬくぬくと座っているのは最高だ。;この さむい ひ に、 だんろ の まえ で ぬくぬく と すわっている の は さいこう だ。;On this cold day, sitting comfortably warm in front of the fireplace is absolutely wonderful.;ぬくぬく	ヌクヌク	comfortably warm (all over the body)	feelings
彼はぬけぬけと他人の物を盗んだ。;かれ は ぬけぬけ と たにん の もの を ぬすんだ。;He shamelessly stole other people's belongings.;ぬけぬけ	ヌケヌケ	to do something shamelessly	personal traits	undesirable
彼はぬけぬけと私のお金を取った後、笑顔で持ち帰った。;かれ は ぬけぬけ と わたし の おかね を とった あと、えがお で もちかえった。;After brazenly taking my money, he went home with a smile.;ぬけぬけ	ヌケヌケ	"brazen, impudent, nonchalant"	speech
猫が草むらからぬっと現れた。;ねこ が くさむら から ぬっと あらわれた。;A cat suddenly appeared out of the grass.;ぬっ	ヌッ	appearing out of the blue	action	sudden
このウナギの肌はぬめぬめしている。;この うなぎ の はだ は ぬめぬめ している。;The skin of this eel feels smooth and slimy.;ぬめぬめ	ヌメヌメ	"smooth, slimy"	feelings
この石はぬめぬめしていて、滑りやすい。;この いし は ぬめぬめ して いて、すべりやすい。;This stone is smooth and slippery.;ぬめぬめ	ヌメヌメ	"smooth, glossy"	physical state	surface
彼の手は油でぬらぬらしていた。;かれ の て は あぶら で ぬらぬら して いた。;His hands were slimy and greasy from the oil.;ぬらぬら	ヌラヌラ	slimy and greasy	feelings
岩肌がぬらぬらと光っていた。;いわはだ が ぬらぬら と ひかっていた。;The rock surface was shiny and slimy.;ぬらぬら	ヌラヌラ	"slimy, oily"	physical state	surface
彼はぬらりくらりと言葉を使って質問をかわした。;かれ は ぬらりくらり と ことば を つかって しつもん を かわした。;He evasively used words to dodge the question.;ぬらりくらり	ヌラリクラリ	equivocally	speech
バナナの皮にぬるって滑った。;ば な な の かわ に ぬ るっ て すべった。;I suddenly slid on a banana peel.;ぬるっ	ヌルッ	suddenly sliding	motions
魚はぬるぬるして捕まえにくかった。;さかな は ぬるぬる して つかまえ にくかった。;The fish was slimy and hard to catch.;ぬるぬる	ヌルヌル	"slimy, slippery"	physical state	wet
彼のねちねちした態度には、みんながうんざりしています。;かれ の ねちねち した たいど に は、みんな が うんざり して います。;Everyone is fed up with his tenacious attitude.;ねちねち	ネチネチ	"tenacious, persistant"	personal traits
柔らかすぎるお餅はねちねちして、手にくっついて離れない。;やわらかすぎる おもち は ねちねちして、 て に くっついて はなれない。;The overly soft rice cake is sticky and won't come off my hands.;ねちねち	ネチネチ	"sticky, glutinous, stuck"	physical state
天気が暑すぎて、肌がねとねとした感じです。;てんき が あつすぎて、はだ が ねとねと した かんじ です。;The weather is so hot that my skin feels sticky.;ねとねと	ネトネト	"sticky, viscous"	feelings
その ねばねばした 砂浜を 歩くのは ねとねとして ちょっと 嫌だ。;その ねばねばした すなはま を あるく のは ねとねと して ちょっと いや だ。;Walking on that sticky sand is damp and a bit unpleasant.;ねとねと	ネトネト	"damp, sticky"	physical state	wet
この納豆はとてもねばねばしています。;この なっとう は とても ねばねば して います。;This natto is very sticky.;ねばねば	ネバネバ	"damp, sticky"	physical state	wet
このきゅうりは、なくなってしまうほどねるねるで、食べられない。;この きゅうり は、なくなって しまう ほど ねるねる で、たべられない。;This cucumber is so slimy that it's almost disintegrating, making it inedible.;ねるねる	ネルネル	"slimy, slippery"	feelings
へびがねるねると草の中を這っている。;へび が ねるねる と くさ の なか を はって いる。;The snake is slithering smoothly through the grass.;ねるねる	ネルネル	"slide, slither"	performing an action
あの人は、最近ノーノーであまり仕事に集中できていません。;あの ひと は、さいきん のーのー で あまり しごと に しゅうちゅう できて いません。;That person has been in a 'no-no' state recently and can't concentrate on their work much.;のーのー	ノーノー	free from care and doing nothing	mental state	not with it
彼はパーティーにのこのこと入ってきた。;かれ は ぱーてぃー に のこのこ と はいって きた。;He nonchalantly walked into the party.;のこのこ	ノコノコ	to enter a situation nonchalantly	performing an action	walking
かめはのそのそ歩いていました。;か め は のそ のそ ある い て い ました;The turtle was walking slowly.;のそのそ	ノソノソ	"slowly, lazily"	action	movement
彼はのそのそと歩いています。;かれ は のそ のそ と あるいて います。;He is walking slowly and lazily.;のそのそ	ノソノソ	"slowly, lazily"	performing an action	walking
彼は疲れていたので、のそりと歩いた。;かれ は つかれていた ので、 のそり と あるいた。;He was tired, so he walked slowly.;のそり	ノソリ	"slow, sluggish"	action	movement
