私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
彼の成績はがくんと落ちた。;かれ の せいせき は がくん と おちた。;His grades suddenly dropped.;がくん	ガクン	suddenly decline	motions
車ががくんと止まった。;くるま が がくん と とまった。;The car jolted to a sudden stop.;がくん	ガクン	jolt strongly	motions
彼は力尽きて、がくんと床に倒れ込んだ。;かれ は ちから つきて 、 がくん と ゆか に たおれこんだ 。;He was exhausted and suddenly collapsed onto the floor.;がくん	ガクン	"abruptly, suddenly"	performing an action	falling
彼の声はかさかさしていた。;かれ の こえ は かさかさ して いた。;His voice was coarse and dry.;かさかさ	カサカサ	"a coarse, dried out feeling"	feelings
秋の葉が公園の地面でかさかさ音を立てています。;あき の は が こうえん の じめん で かさかさ おと を たてています。;The autumn leaves make a rustling sound on the park ground.;かさかさ	カサカサ	crumble	motions	desintegrate
彼の乾いた唇がかさかさと音を立てた。;かれ の かわいた くちびる が かさかさ と おと を たてた。;His dry lips made a rustling sound.;かさかさ	カサカサ	rumbling	onomatopoeia
彼のカサカサした態度は、チームの士気を低下させました。;かれ の かさかさ した たいど は、ちーむ の しき を ていか させました。;His harsh attitude dampened the team's morale.;かさかさ	カサカサ	"dull, harsh"	personal attitude
彼女の手は冬になるとカサカサになります。;かのじょ の て は ふゆ に なる と かさかさ に なります。;Her hands become dry and rough in winter.;かさかさ	カサカサ	"dry, rough"	physical state	dry
このセーターは洗濯しすぎてがさがさになった。;この せーたー は せんたく し すぎて がさがさ に なった。;This sweater became coarse and rough after too much washing.;がさがさ	ガサガサ	"a coarse, dried out feeling, coarse than かさかさ"	feelings
彼の部屋はガサガサしている。;かれ の へや は がさがさ している。;His room is messy.;がさがさ	ガサガサ	crumble	motions	desintegrate
彼のポケットからガサガサという音が聞こえた。;かれ の ぽけっと から がさがさ という おと が きこえた。;I heard a rustling sound coming from his pocket.;がさがさ	ガサガサ	rumbling	onomatopoeia
彼の話し方はがさがさしていて、時々失礼に感じる。;かれ の はなし かた は がさがさ して いて、 ときどき しつれい に かんじる。;His way of speaking is unsophisticated, and it sometimes feels rude.;がさがさ	ガサガサ	"unsophisticated, ill-mannered"	personal traits	undesirable
その葉っぱはがさがさで、触るとすぐに崩れました。;その はっぱ は がさがさ で、 さわる と すぐ に くずれました。;The leaves were dried out and crumbled as soon as I touched them.;がさがさ	ガサガサ	"dried out, coarse"	physical state	dry
落ち葉を踏むとカサコソと音がした。;おちば を ふむ と かさこそ と おと が した。;The leaves made a rustling sound as they were stepped on.;かさこそ	カサコソ	rumbling	onomatopoeia
彼のバッグからガサゴソと音がした。;かれ の ばっぐ から がさごそ と おと が した。;There was a rustling sound coming from his bag.;がさごそ	ガサゴソ	rumbling	onomatopoeia
古いパスポートの紙がカサッと落ちた。;ふるい ぱすぽーと の かみ が かさっと おちた。;The paper of the old passport crumbled off.;かさっ	カサッ	falling off by crumbling	motions	desintegrate
ドライ葉が風でがさっと落ちた。;どらい は が かぜ で がさっ と おちた。;The dry leaves fell with a thud in the wind.;がさっ	ガサッ	falling off by crumbling (with a thud)	motions	desintegrate
彼が箱を落としたとき、ガサッという音がした。;かれ が はこ を おとした とき、 がさっ という おと が した。;When he dropped the box, there was a thudding sound.;がさっ	ガサッ	thudding	onomatopoeia
サッカーの試合が終わると、観客たちはがさっと出口に向かった。;さっかー の しあい が おわる と、かんきゃく たち は がさっ と でぐち に むかった。;When the soccer match ended, the spectators moved in large numbers toward the exit.;がさっ	ガサッ	to move (not per se literally) in large numbers	quantity
彼は子犬をがしっと抱きしめた。;かれ は こいぬ を がしっと だきしめた。;He hugged the puppy tightly.;がし	ガシ	"to hold tightly, to hug tightly"	performing an action
彼の体はがしっとしている。;かれ の からだ は がしっ と している。;His body is strongly built.;がしっ	ガシッ	strongly built	resultant state
彼は力強く、がしっとした体格を持っている。;かれ は ちからづよく、がしっと した たいかく を もって いる。;He has a strong, firmly built physique.;がしっ	ガシッ	strongly built	the body
カメラがカシャッと音を立てた。;かめら が かしゃっ と おと を たてた。;The camera made a clicking sound.;かしゃっ	カシャッ	clicking	onomatopoeia
ドアを閉めると、がしゃっと大きな音がした。;ドア を しめる と、 がしゃっと おおきな おと が した。;When I closed the door, there was a loud crunching sound.;がしゃっ	ガシャッ	crunching	onomatopoeia
彼の声はカスカスになっていた。;かれ の こえ は かすかす に なって いた。;His voice had become dry and raspy.;かすかす	カスカス	"dry, lacking moisture"	physical state	dry
水がかすかすしか残っていない。;みず が かすかす しか のこって いない。;There's barely any water left.;かすかす	カスカス	barely	quantity
彼はかすかすで電車に間に合った。;かれ は かすかす で でんしゃ に まにあった。;He barely made it to the train in time.;かすかす	カスカス	barely in time	temporal aspect
古いパンはカスカスして美味しくなかった。;ふるい　ぱん　は　かすかす　して　おいしく　なかった。;The old bread was dry and tasteless, and it wasn't delicious.;かすかす	カスカス	"dry, tasteless"	texture
パソコンのキーボードがかたかた鳴っている。;ぱ そ こん の きーぼーど が かたかた なっている 。;The computer keyboard is clattering.;かたかた	カタカタ	clattering	onomatopoeia
電車がかたかたと走る。;でんしゃ が かたかた と はしる。;The train rattles as it runs.;かたかた	カタカタ	rattling	onomatopoeia
怖くて足ががたがた震えた。;こわくて あし が がたがた ふるえた。;My legs were shaking like a leaf from fear.;がたがた	ガタガタ	shake life a leaf	feelings
株価ががたがたと下がった。;かぶか が がたがた と さがった。;The stock prices suddenly declined.;がたがた	ガタガタ	suddenly decline	motions
電車がトンネルを通るときにがたがたと音がする。;でんしゃ が とんねる を とおる とき に がたがた と おと が する 。;The train makes a clattering noise when it goes through the tunnel.;がたがた	ガタガタ	clattering	onomatopoeia
電車がガタガタと揺れる。;でんしゃ が がたがた と ゆれる。;The train rattles.;がたがた	ガタガタ	rattling	onomatopoeia
彼の古い車は走るたびにがたがたと音を立てる。;かれ の ふるい くるま は はしる たび に がたがた と おと を たてる。;His old car makes a rattling sound every time it runs.;がたがた	ガタガタ	"complaining, rattling, giving unwanted advice"	speech
この椅子はがたがたして、座ると不安定です。;この いす は がたがた して、すわる と ふあんてい です。;This chair is shaky and feels unstable when you sit on it.;がたがた	ガタガタ	"shaky, ill-balanced"	structure
彼の日本語はカタコトだけど、一生懸命話している。;かれ の にほんご は カタコト だ けど、いっしょうけんめい はなしている。;His Japanese is stammered, but he is trying his hardest to speak.;かたこと	カタコト	clattering	onomatopoeia
その椅子は突然ガタッと音を立てて倒れてしまった。;その いす は とつぜん がたっ と おと を たてて たおれて しまった。;The chair suddenly made a clattering sound and fell over.;がたっ	ガタッ	suddden decline	motions
机の上のカバンが落ちて、がたっと音がした。;つくえ の うえ の かばん が おちて、がたっと おと が した。;The bag on the desk fell with a clattering sound.;がたっ	ガタッ	clattering	onomatopoeia
彼のおじいちゃんの健康は最近がたっと悪化しました。;かれ の おじいちゃん の けんこう は さいきん がたっと あっか しました。;His grandfather's health suddenly declined recently.;がたっ	ガタッ	a sudden decline in health	physical health	poor
彼の古い車はがたぴしと音を立てて走っている。;かれ の ふるい くるま は がたぴし と おと を たてて はしっている。;His old car is running making clattering noises.;がたぴし	ガタピシ	falling apart	form
古い車が走るたびにがたぴし音を立てます。;ふるい くるま が はしる たび に がたぴし おと を たてます。;The old car makes a rattling sound every time it runs.;がたぴし	ガタピシ	rattling	onomatopoeia
彼らの関係はがたぴししている。;かれら の かんけい は がたぴし している。;Their relationship is disorderly and lacking smoothness.;がたぴし	ガタピシ	"disorderly, lacking smoothness"	personal relations
彼の体がガタピシしているので、歩くのが難しい。;かれ の からだ が がたぴし している ので、あるく のが むずかしい。;His body is falling apart, making it difficult for him to walk.;がたぴし	ガタピシ	"to fall apart, to move less easy"	physical health	poor
二人の関係はがたぴししている。;ふたり の かんけい は がたぴし している。;The relationship between the two is falling apart.;がたぴし	ガタピシ	a human relation (or system) going to shambles	resultant state
この古い家はがたぴしと音を立てながら、強い風に耐えている。;この ふるい いえ は がたぴし と おと を たてながら 、 つよい かぜ に たえて いる 。;This old house is creaking as it withstands the strong wind.;がたぴし	ガタピシ	poor	structure
電車がトンネルを抜けるとき、がたんと音がした。;でんしゃ が とんねる を ぬける とき 、 がたん と おと が した 。;When the train went through the tunnel, it made a clattering sound.;がたん	ガタン	clattering	onomatopoeia
電車がカタンカタンと走っています。;でんしゃ が かたんかたん と はしって います。;The train is running with a clattering sound.;かたんかたん	カタンカタン	that sound trains make on tracks	onomatopoeia	train
面接の前に緊張して、体がかちかちになった。;めんせつ の まえ に きんちょう して、 からだ が かちかち に なった。;I was so nervous before the interview that my body became stiff and frozen.;かちかち	カチカチ	"stiff, frozen up"	mood	nervous
時計がかちかちと音を立てている。;とけい が かちかち と おと を たてて いる。;The clock is ticking with a clicking sound.;かちかち	カチカチ	clicking	onomatopoeia
時計がかちかちと音を立てています。;とけい が かちかち と おと を たてています。;The clock is making a tick-tock sound.;かちかち	カチカチ	"""tick tock"""	onomatopoeia
彼は意見を変えないほどかちかちな人だ。;かれ は いけん を かえない ほど かちかち な ひと だ。;He is so inflexible that he never changes his opinion.;かちかち	カチカチ	"inflexible, stubborn"	personal traits	undesirable
トマトはかちかちに凍ってしまった。;とまと は かちかち に こおって しまった。;The tomatoes have frozen rock hard.;かちかち	カチカチ	"dried, frozen hard"	physical state	stiff
彼は貯金をするためにがちがちにお金を使っています。;かれ は ちょきん を する ため に がちがち に おかね を つかって います。;He is tight-fisted with money in order to save.;がちがち	ガチガチ	to be tight-fisted	money issues
彼の歯は寒さでがちがちと鳴った。;かれ の は は さむさ で がちがち と なった。;His teeth were clicking from the cold.;がちがち	ガチガチ	clicking	onomatopoeia
彼はいつもお金にガチガチで、友達にも奢らない。;かれ は いつも おかね に がちがち で、 ともだち に も おごらない。;He is always greedy about money and never treats his friends.;がちがち	ガチガチ	greedy	personal traits	undesirable
池の水ががちがちに凍ってしまった。;いけ の みず が がちがち に こおって しまった。;The pond's water has completely frozen solid.;がちがち	ガチガチ	"dried, frozen hard"	physical state	stiff
